,Meta_Name,Meta_Content,Unigram,Top 20 Frequency Unigram,Bigram,Top 20 Bigram,Image URL
10,theme-color,org.coursera.android,Courses,"('Management', 5)","('Courses', 'Log')","(('Science', 'Degrees'), 2)",
11,description,"width=device-width, initial-scale=1",Log,"('Certificates', 5)","('Log', 'In')","(('Public', 'Health'), 2)",
12,image,#2d89ef,In,"(""'s"", 5)","('In', 'List')","(('Degrees', 'Bachelor'), 2)",
13,robots,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/mstile-144x144.png,List,"('Master', 5)","('List', 'Welcome')","(('Science', 'Master'), 2)",
14,,#4689c6,Welcome,"('AI', 4)","('Welcome', 'Coursera')","(('SVCE', '|'), 1)",
15,,366737676376375235216727,Coursera,"('Business', 4)","('Coursera', '@')","(('|', 'Coursera'), 1)",
16,,4970cfdb825622c7,@,"('IBM', 4)","('@', 'SVCE')","(('Coursera', 'default'), 1)",
17,,https://www.coursera.org/programs/sri-venkateswara-college-yqrql,SVCE,"('Computer', 4)","('SVCE', 'Coursera')","(('default', 'company'), 1)",
18,,en_US,Coursera,"('Top', 3)","('Coursera', 'Campus')","(('company', 'logo'), 1)",
19,,website,Campus,"('Cloud', 3)","('Campus', 'Basic')","(('logo', 'Browse'), 1)",
20,,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.",Basic,,"('Basic', 'plan')",,
21,,https://s3.amazonaws.com/coursera/media/Partner_Logos.png,plan,,"('plan', 'Join')",,
22,,Coursera @ SVCE | Coursera,Join,,"('Join', 'Free')",,
23,,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.",Free,,"('Free', 'Sponsored')",,
24,,https://s3.amazonaws.com/coursera/media/Partner_Logos.png,Sponsored,,"('Sponsored', 'SRI')",,
25,,Coursera @ SVCE | Coursera,SRI,,"('SRI', 'VENKATESWARA')",,
26,,"Learn online and earn valuable credentials from top universities like Yale, Michigan, Stanford, and leading companies like Google and IBM. Join Coursera for free and transform your career with degrees, certificates, Specializations, & MOOCs in data science, computer science, business, and dozens of other topics.",VENKATESWARA,,"('VENKATESWARA', 'COLLEGE')",,
27,,https://s3.amazonaws.com/coursera/media/Partner_Logos.png,COLLEGE,,"('COLLEGE', 'OF')",,
28,,https://s3.amazonaws.com/coursera/media/Partner_Logos.png,OF,,"('OF', 'ENGINEERING')",,
29,,summary,ENGINEERING,,"('ENGINEERING', 'Invite')",,
30,,"noindex, nofollow",Invite,,"('Invite', 'college')",,
31,,,college,,"('college', 'university')",,
32,,,university,,"('university', 'students')",,
33,,,students,,"('students', 'learn')",,
34,,,learn,,"('learn', 'free')",,
35,,,free,,"('free', 'Coursera')",,
36,,,Coursera,,"('Coursera', 'Coursera')",,
37,,,Coursera,,"('Coursera', 'Footer')",,
38,,,Footer,,"('Footer', 'Top')",,
39,,,Top,,"('Top', 'Online')",,
40,,,Online,,"('Online', 'Courses')",,
41,,,Courses,,"('Courses', 'Finding')",,
42,,,Finding,,"('Finding', 'Purpose')",,
43,,,Purpose,,"('Purpose', '&')",,
44,,,&,,"('&', 'Meaning')",,
45,,,Meaning,,"('Meaning', 'Life')",,
46,,,Life,,"('Life', 'Understanding')",,
47,,,Understanding,,"('Understanding', 'Medical')",,
48,,,Medical,,"('Medical', 'Research')",,
49,,,Research,,"('Research', 'Japanese')",,
50,,,Japanese,,"('Japanese', 'Beginners')",,
51,,,Beginners,,"('Beginners', 'Introduction')",,
52,,,Introduction,,"('Introduction', 'Cloud')",,
53,,,Cloud,,"('Cloud', 'Computing')",,
54,,,Computing,,"('Computing', 'Foundations')",,
55,,,Foundations,,"('Foundations', 'Mindfulness')",,
56,,,Mindfulness,,"('Mindfulness', 'Fundamentals')",,
57,,,Fundamentals,,"('Fundamentals', 'Finance')",,
58,,,Finance,,"('Finance', 'Machine')",,
59,,,Machine,,"('Machine', 'Learning')",,
60,,,Learning,,"('Learning', 'Machine')",,
61,,,Machine,,"('Machine', 'Learning')",,
62,,,Learning,,"('Learning', 'Using')",,
63,,,Using,,"('Using', 'Sas')",,
64,,,Sas,,"('Sas', 'Viya')",,
65,,,Viya,,"('Viya', 'The')",,
66,,,The,,"('The', 'Science')",,
67,,,Science,,"('Science', 'Well')",,
68,,,Well,,"('Well', 'Being')",,
69,,,Being,,"('Being', 'Covid-19')",,
70,,,Covid-19,,"('Covid-19', 'Contact')",,
71,,,Contact,,"('Contact', 'Tracing')",,
72,,,Tracing,,"('Tracing', 'AI')",,
73,,,AI,,"('AI', 'Everyone')",,
74,,,Everyone,,"('Everyone', 'Financial')",,
75,,,Financial,,"('Financial', 'Markets')",,
76,,,Markets,,"('Markets', 'Introduction')",,
77,,,Introduction,,"('Introduction', 'Psychology')",,
78,,,Psychology,,"('Psychology', 'Getting')",,
79,,,Getting,,"('Getting', 'Started')",,
80,,,Started,,"('Started', 'AWS')",,
81,,,AWS,,"('AWS', 'International')",,
82,,,International,,"('International', 'Marketing')",,
83,,,Marketing,,"('Marketing', 'C++')",,
84,,,C++,,"('C++', 'Predictive')",,
85,,,Predictive,,"('Predictive', 'Analytics')",,
86,,,Analytics,,"('Analytics', '&')",,
87,,,&,,"('&', 'Data')",,
88,,,Data,,"('Data', 'Mining')",,
89,,,Mining,,"('Mining', 'UCSD')",,
90,,,UCSD,,"('UCSD', 'Learning')",,
91,,,Learning,,"('Learning', 'How')",,
92,,,How,,"('How', 'Learn')",,
93,,,Learn,,"('Learn', 'Michigan')",,
94,,,Michigan,,"('Michigan', 'Programming')",,
95,,,Programming,,"('Programming', 'Everybody')",,
96,,,Everybody,,"('Everybody', 'JHU')",,
97,,,JHU,,"('JHU', 'R')",,
98,,,R,,"('R', 'Programming')",,
99,,,Programming,,"('Programming', 'Google')",,
100,,,Google,,"('Google', 'CBRS')",,
101,,,CBRS,,"('CBRS', 'CPI')",,
102,,,CPI,,"('CPI', 'Training')",,
103,,,Training,,"('Training', 'Top')",,
104,,,Top,,"('Top', 'Online')",,
105,,,Online,,"('Online', 'Specializations')",,
106,,,Specializations,,"('Specializations', 'Natural')",,
107,,,Natural,,"('Natural', 'Language')",,
108,,,Language,,"('Language', 'Processing')",,
109,,,Processing,,"('Processing', '(')",,
110,,,(,,"('(', 'NLP')",,
111,,,NLP,,"('NLP', ')')",,
112,,,),,"(')', 'AI')",,
113,,,AI,,"('AI', 'Medicine')",,
114,,,Medicine,,"('Medicine', 'Good')",,
115,,,Good,,"('Good', 'Words')",,
116,,,Words,,"('Words', ':')",,
117,,,:,,"(':', 'Writing')",,
118,,,Writing,,"('Writing', '&')",,
119,,,&,,"('&', 'Editing')",,
120,,,Editing,,"('Editing', 'Infections')",,
121,,,Infections,,"('Infections', 'Disease')",,
122,,,Disease,,"('Disease', 'Modeling')",,
123,,,Modeling,,"('Modeling', 'The')",,
124,,,The,,"('The', 'Pronounciation')",,
125,,,Pronounciation,,"('Pronounciation', 'American')",,
126,,,American,,"('American', 'English')",,
127,,,English,,"('English', 'Software')",,
128,,,Software,,"('Software', 'Testing')",,
129,,,Testing,,"('Testing', 'Automation')",,
130,,,Automation,,"('Automation', 'Deep')",,
131,,,Deep,,"('Deep', 'Learning')",,
132,,,Learning,,"('Learning', 'Python')",,
133,,,Python,,"('Python', 'Everybody')",,
134,,,Everybody,,"('Everybody', 'Data')",,
135,,,Data,,"('Data', 'Science')",,
136,,,Science,,"('Science', 'Business')",,
137,,,Business,,"('Business', 'Foundations')",,
138,,,Foundations,,"('Foundations', 'Excel')",,
139,,,Excel,,"('Excel', 'Skills')",,
140,,,Skills,,"('Skills', 'Business')",,
141,,,Business,,"('Business', 'Data')",,
142,,,Data,,"('Data', 'Science')",,
143,,,Science,,"('Science', 'Python')",,
144,,,Python,,"('Python', 'Finance')",,
145,,,Finance,,"('Finance', 'Everyone')",,
146,,,Everyone,,"('Everyone', 'Communication')",,
147,,,Communication,,"('Communication', 'Skills')",,
148,,,Skills,,"('Skills', 'Engineers')",,
149,,,Engineers,,"('Engineers', 'Sales')",,
150,,,Sales,,"('Sales', 'Training')",,
151,,,Training,,"('Training', 'Career')",,
152,,,Career,,"('Career', 'Brand')",,
153,,,Brand,,"('Brand', 'Management')",,
154,,,Management,,"('Management', 'Wharton')",,
155,,,Wharton,,"('Wharton', 'Business')",,
156,,,Business,,"('Business', 'Analytics')",,
157,,,Analytics,,"('Analytics', 'Penn')",,
158,,,Penn,,"('Penn', 'Positive')",,
159,,,Positive,,"('Positive', 'Psychology')",,
160,,,Psychology,,"('Psychology', 'Washington')",,
161,,,Washington,,"('Washington', 'Machine')",,
162,,,Machine,,"('Machine', 'Learning')",,
163,,,Learning,,"('Learning', 'CalArts')",,
164,,,CalArts,,"('CalArts', 'Graphic')",,
165,,,Graphic,,"('Graphic', 'Design')",,
166,,,Design,,"('Design', 'Online')",,
167,,,Online,,"('Online', 'Certificates')",,
168,,,Certificates,,"('Certificates', 'Professional')",,
169,,,Professional,,"('Professional', 'Certificates')",,
170,,,Certificates,,"('Certificates', 'MasterTrack')",,
171,,,MasterTrack,,"('MasterTrack', 'Certificates')",,
172,,,Certificates,,"('Certificates', 'Google')",,
173,,,Google,,"('Google', 'IT')",,
174,,,IT,,"('IT', 'Support')",,
175,,,Support,,"('Support', 'IBM')",,
176,,,IBM,,"('IBM', 'Data')",,
177,,,Data,,"('Data', 'Science')",,
178,,,Science,,"('Science', 'Google')",,
179,,,Google,,"('Google', 'Cloud')",,
180,,,Cloud,,"('Cloud', 'Data')",,
181,,,Data,,"('Data', 'Engineering')",,
182,,,Engineering,,"('Engineering', 'IBM')",,
183,,,IBM,,"('IBM', 'Applied')",,
184,,,Applied,,"('Applied', 'AI')",,
185,,,AI,,"('AI', 'Google')",,
186,,,Google,,"('Google', 'Cloud')",,
187,,,Cloud,,"('Cloud', 'Architecture')",,
188,,,Architecture,,"('Architecture', 'IBM')",,
189,,,IBM,,"('IBM', 'Cybersecurity')",,
190,,,Cybersecurity,,"('Cybersecurity', 'Analyst')",,
191,,,Analyst,,"('Analyst', 'Google')",,
192,,,Google,,"('Google', 'IT')",,
193,,,IT,,"('IT', 'Automation')",,
194,,,Automation,,"('Automation', 'Python')",,
195,,,Python,,"('Python', 'IBM')",,
196,,,IBM,,"('IBM', 'z/OS')",,
197,,,z/OS,,"('z/OS', 'Mainframe')",,
198,,,Mainframe,,"('Mainframe', 'Practitioner')",,
199,,,Practitioner,,"('Practitioner', 'UCI')",,
200,,,UCI,,"('UCI', 'Applied')",,
201,,,Applied,,"('Applied', 'Project')",,
202,,,Project,,"('Project', 'Management')",,
203,,,Management,,"('Management', 'Instructional')",,
204,,,Instructional,,"('Instructional', 'Design')",,
205,,,Design,,"('Design', 'Certificate')",,
206,,,Certificate,,"('Certificate', 'Construction')",,
207,,,Construction,,"('Construction', 'Engineering')",,
208,,,Engineering,,"('Engineering', 'Management')",,
209,,,Management,,"('Management', 'Certificate')",,
210,,,Certificate,,"('Certificate', 'Big')",,
211,,,Big,,"('Big', 'Data')",,
212,,,Data,,"('Data', 'Certificate')",,
213,,,Certificate,,"('Certificate', 'Machine')",,
214,,,Machine,,"('Machine', 'Learning')",,
215,,,Learning,,"('Learning', 'Analytics')",,
216,,,Analytics,,"('Analytics', 'Certificate')",,
217,,,Certificate,,"('Certificate', 'Innovation')",,
218,,,Innovation,,"('Innovation', 'Management')",,
219,,,Management,,"('Management', '&')",,
220,,,&,,"('&', 'Entrepreneurship')",,
221,,,Entrepreneurship,,"('Entrepreneurship', 'Certificate')",,
